day,day_range,weather,day_of_week,celebration,season
2015-03-05,1800,Partly cloudy,5,0,Winter
2015-03-06,0,Clear,6,0,Winter
2015-03-06,600,Clear,6,0,Winter
2015-03-06,1200,Sunny,6,0,Winter
2015-03-06,1800,Sunny,6,0,Winter
2015-03-07,0,Clear,7,0,Winter
2015-03-07,600,Clear,7,0,Winter
2015-03-07,1200,Sunny,7,0,Winter
2015-03-07,1800,Sunny,7,0,Winter
2015-03-08,0,Clear,1,0,Winter
2015-03-08,600,Clear,1,0,Winter
2015-03-08,1200,Sunny,1,0,Winter
2015-03-08,1800,Sunny,1,0,Winter
2015-03-09,0,Clear,2,0,Winter
2015-03-09,600,Clear,2,0,Winter
2015-03-09,1200,Sunny,2,0,Winter
2015-03-09,1800,Sunny,2,0,Winter
2015-03-10,0,Clear,3,0,Winter
2015-03-10,600,Clear,3,0,Winter
2015-03-10,1200,Sunny,3,0,Winter
2015-03-10,1800,Sunny,3,0,Winter
2015-03-11,0,Clear,4,0,Winter
2015-03-11,600,Cloudy,4,0,Winter
2015-03-11,1200,Sunny,4,0,Winter
2015-03-11,1800,Sunny,4,0,Winter
2015-03-12,0,Clear,5,0,Winter
2015-03-12,600,Clear,5,0,Winter
2015-03-12,1200,Sunny,5,0,Winter
2015-03-12,1800,Sunny,5,0,Winter
2015-03-13,0,Clear,6,0,Winter
2015-03-13,600,Clear,6,0,Winter
2015-03-13,1200,Sunny,6,0,Winter
2015-03-13,1800,Sunny,6,0,Winter
2015-03-14,0,Clear,7,0,Winter
2015-03-14,600,Light rain shower,7,0,Winter
2015-03-14,1200,Overcast,7,0,Winter
2015-03-14,1800,Patchy rain possible,7,0,Winter
2015-03-15,0,Patchy rain possible,1,0,Winter
2015-03-15,600,Overcast,1,0,Winter
2015-03-15,1200,Light rain,1,0,Winter
2015-03-15,1800,Light rain,1,0,Winter
2015-03-16,0,Patchy rain possible,2,0,Winter
2015-03-16,600,Light rain,2,0,Winter
2015-03-16,1200,Moderate rain,2,0,Winter
2015-03-16,1800,Patchy light drizzle,2,0,Winter
2015-03-17,0,Light rain,3,0,Winter
2015-03-17,600,Light rain,3,0,Winter
2015-03-17,1200,Patchy light drizzle,3,0,Winter
2015-03-17,1800,Sunny,3,0,Winter
2015-03-18,0,Clear,4,0,Winter
2015-03-18,600,Clear,4,0,Winter
2015-03-18,1200,Sunny,4,0,Winter
2015-03-18,1800,Sunny,4,0,Winter
2015-03-19,0,Clear,5,0,Winter
2015-03-19,600,Clear,5,0,Winter
2015-03-19,1200,Sunny,5,0,Winter
2015-03-19,1800,Sunny,5,0,Winter
2015-03-20,0,Clear,6,0,Winter
2015-03-20,600,Clear,6,0,Winter
2015-03-20,1200,Sunny,6,0,Winter
2015-03-20,1800,Sunny,6,0,Winter
2015-03-21,0,Clear,7,0,Winter
2015-03-21,600,Clear,7,0,Winter
2015-03-21,1200,Partly cloudy,7,0,Winter
2015-03-21,1800,Light drizzle,7,0,Winter
2015-03-22,0,Patchy rain possible,1,0,Spring
2015-03-22,600,Cloudy,1,0,Spring
2015-03-22,1200,Partly cloudy,1,0,Spring
2015-03-22,1800,Sunny,1,0,Spring
2015-03-23,0,Partly cloudy,2,0,Spring
2015-03-23,600,Partly cloudy,2,0,Spring
2015-03-23,1200,Sunny,2,0,Spring
2015-03-23,1800,Partly cloudy,2,0,Spring
2015-03-24,0,Cloudy,3,0,Spring
2015-03-24,600,Patchy rain possible,3,0,Spring
2015-03-24,1200,Light rain shower,3,0,Spring
2015-03-24,1800,Patchy rain possible,3,0,Spring
2015-03-25,0,Patchy rain possible,4,0,Spring
2015-03-25,600,Patchy rain possible,4,0,Spring
2015-03-25,1200,Light rain,4,0,Spring
2015-03-25,1800,Light rain,4,0,Spring
2015-03-26,0,Moderate rain,5,0,Spring
2015-03-26,600,Light rain,5,0,Spring
2015-03-26,1200,Light rain,5,0,Spring
2015-03-26,1800,Partly cloudy,5,0,Spring
2015-03-27,0,Partly cloudy,6,0,Spring
2015-03-27,600,Partly cloudy,6,0,Spring
2015-03-27,1200,Moderate or heavy rain shower,6,0,Spring
2015-03-27,1800,Sunny,6,0,Spring
2015-03-28,0,Clear,7,0,Spring
2015-03-28,600,Clear,7,0,Spring
2015-03-28,1200,Sunny,7,0,Spring
2015-03-28,1800,Sunny,7,0,Spring
2015-03-29,0,Partly cloudy,1,1,Spring
2015-03-29,600,Clear,1,1,Spring
2015-03-29,1200,Sunny,1,1,Spring
2015-03-29,1800,Sunny,1,1,Spring
2015-03-30,0,Clear,2,0,Spring
2015-03-30,600,Cloudy,2,0,Spring
2015-03-30,1200,Partly cloudy,2,0,Spring
2015-03-30,1800,Sunny,2,0,Spring
2015-03-31,0,Clear,3,0,Spring
2015-03-31,600,Clear,3,0,Spring
2015-03-31,1200,Sunny,3,0,Spring
2015-03-31,1800,Partly cloudy,3,0,Spring
2015-04-01,0,Clear,4,0,Spring
2015-04-01,600,Clear,4,0,Spring
2015-04-01,1200,Sunny,4,0,Spring
2015-04-01,1800,Sunny,4,0,Spring
2015-04-02,0,Clear,5,0,Spring
2015-04-02,600,Clear,5,0,Spring
2015-04-02,1200,Sunny,5,0,Spring
2015-04-02,1800,Sunny,5,0,Spring
2015-04-03,0,Clear,6,0,Spring
2015-04-03,600,Clear,6,0,Spring
2015-04-03,1200,Sunny,6,0,Spring
2015-04-03,1800,Partly cloudy,6,0,Spring
2015-04-04,0,Cloudy,7,0,Spring
2015-04-04,600,Light rain shower,7,0,Spring
2015-04-04,1200,Light rain shower,7,0,Spring
2015-04-04,1800,Light rain shower,7,0,Spring
2015-04-05,0,Partly cloudy,1,1,Spring
2015-04-05,600,Partly cloudy,1,1,Spring
2015-04-05,1200,Partly cloudy,1,1,Spring
2015-04-05,1800,Sunny,1,1,Spring
2015-04-06,0,Clear,2,1,Spring
2015-04-06,600,Clear,2,1,Spring
2015-04-06,1200,Partly cloudy,2,1,Spring
2015-04-06,1800,Partly cloudy,2,1,Spring
2015-04-07,0,Partly cloudy,3,0,Spring
2015-04-07,600,Clear,3,0,Spring
2015-04-07,1200,Sunny,3,0,Spring
2015-04-07,1800,Sunny,3,0,Spring
2015-04-08,0,Clear,4,0,Spring
2015-04-08,600,Clear,4,0,Spring
2015-04-08,1200,Sunny,4,0,Spring
2015-04-08,1800,Sunny,4,0,Spring
2015-04-09,0,Clear,5,0,Spring
2015-04-09,600,Clear,5,0,Spring
2015-04-09,1200,Sunny,5,0,Spring
