,day,day_range,total_count,weather,day_of_week,celebration,season,month,day_of_year,count_discretized
341,2015-04-15,1200,344,Sunny,4,False,Spring,4,15,2.0
342,2015-02-24,600,208,Light drizzle,3,False,Winter,2,24,2.0
343,2015-02-14,0,28,Partly cloudy,7,False,Winter,2,14,0.0
344,2015-02-08,0,20,Clear,1,False,Winter,2,8,0.0
345,2015-01-28,0,8,Clear,4,False,Winter,1,28,0.0
346,2015-12-15,1800,89,Cloudy,3,False,Autumn,12,15,1.0
347,2015-12-13,600,18,Light drizzle,1,False,Autumn,12,13,0.0
348,2015-12-12,600,66,Overcast,7,False,Autumn,12,12,1.0
349,2015-12-02,0,10,Clear,4,False,Autumn,12,2,0.0
350,2015-08-31,1200,99,Sunny,2,False,Summer,8,31,1.0
351,2015-07-17,600,207,Clear,6,False,Summer,7,17,2.0
352,2015-05-26,600,313,Clear,3,False,Spring,5,26,2.0
353,2015-04-03,0,18,Clear,6,False,Spring,4,3,0.0
354,2015-11-27,600,269,Partly cloudy,6,False,Autumn,11,27,2.0
355,2015-08-28,1200,80,Sunny,6,False,Summer,8,28,1.0
356,2015-08-16,1200,22,Sunny,1,False,Summer,8,16,0.0
357,2015-06-12,600,273,Clear,6,False,Spring,6,12,2.0
358,2015-05-06,0,18,Clear,4,False,Spring,5,6,0.0
359,2015-03-03,600,344,Clear,3,False,Winter,3,3,2.0
360,2015-12-31,1800,4,Sunny,5,True,Winter,12,31,0.0
361,2015-11-23,1800,113,Partly cloudy,2,False,Autumn,11,23,1.0
362,2015-11-19,600,367,Partly cloudy,5,False,Autumn,11,19,2.0
363,2015-10-09,1200,335,Sunny,6,False,Autumn,10,9,2.0
364,2015-08-11,1200,51,Partly cloudy,3,False,Summer,8,11,1.0
365,2015-03-29,1200,73,Sunny,1,True,Spring,3,29,1.0
366,2015-02-23,0,10,Clear,2,False,Winter,2,23,0.0
367,2015-02-04,600,199,Patchy rain possible,4,False,Winter,2,4,2.0
368,2015-01-24,1200,104,Partly cloudy,7,False,Winter,1,24,1.0
369,2015-03-11,1800,178,Sunny,4,False,Winter,3,11,2.0
370,2015-03-10,0,11,Clear,3,False,Winter,3,10,0.0
371,2015-02-10,1200,209,Sunny,3,False,Winter,2,10,2.0
372,2015-01-08,600,210,Clear,5,False,Winter,1,8,2.0
373,2015-11-26,600,297,Cloudy,5,False,Autumn,11,26,2.0
374,2015-09-19,0,23,Clear,7,False,Summer,9,19,0.0
375,2015-08-03,1200,100,Sunny,2,False,Summer,8,3,1.0
376,2015-07-26,0,21,Clear,1,False,Summer,7,26,0.0
377,2015-06-15,1200,225,Sunny,2,False,Spring,6,15,2.0
378,2015-03-11,1200,361,Sunny,4,False,Winter,3,11,2.0
379,2015-03-07,600,45,Clear,7,False,Winter,3,7,1.0
380,2015-01-02,0,4,Clear,6,False,Winter,1,2,0.0
381,2015-12-24,600,63,Cloudy,5,False,Winter,12,24,1.0
382,2015-12-16,600,263,Light drizzle,4,False,Autumn,12,16,2.0
383,2015-09-27,1200,47,Partly cloudy,1,False,Autumn,9,27,1.0
384,2015-08-14,1200,39,Sunny,6,False,Summer,8,14,1.0
385,2015-06-14,1200,48,Patchy rain possible,1,False,Spring,6,14,1.0
386,2015-05-06,600,362,Partly cloudy,4,False,Spring,5,6,2.0
387,2015-05-03,600,21,Cloudy,1,False,Spring,5,3,0.0
