day,day_range,weather
02/07/2015,1200,Sunny
02/07/2015,1800,Sunny
03/07/2015,0,Clear
03/07/2015,600,Clear
03/07/2015,1200,Sunny
03/07/2015,1800,Sunny
04/07/2015,0,Clear
04/07/2015,600,Clear
04/07/2015,1200,Sunny
04/07/2015,1800,Sunny
05/07/2015,0,Clear
05/07/2015,600,Clear
05/07/2015,1200,Sunny
05/07/2015,1800,Sunny
06/07/2015,0,Clear
06/07/2015,600,Clear
06/07/2015,1200,Sunny
06/07/2015,1800,Partly cloudy
07/07/2015,0,Clear
07/07/2015,600,Clear
07/07/2015,1200,Sunny
07/07/2015,1800,Sunny
08/07/2015,0,Clear
08/07/2015,600,Clear
08/07/2015,1200,Sunny
08/07/2015,1800,Sunny
09/07/2015,0,Clear
09/07/2015,600,Clear
09/07/2015,1200,Partly cloudy
09/07/2015,1800,Sunny
10/07/2015,0,Clear
10/07/2015,600,Clear
10/07/2015,1200,Sunny
10/07/2015,1800,Sunny
11/07/2015,0,Clear
11/07/2015,600,Clear
11/07/2015,1200,Sunny
11/07/2015,1800,Sunny
12/07/2015,0,Clear
12/07/2015,600,Clear
12/07/2015,1200,Sunny
12/07/2015,1800,Sunny
13/07/2015,0,Clear
13/07/2015,600,Clear
13/07/2015,1200,Sunny
13/07/2015,1800,Sunny
14/07/2015,0,Clear
14/07/2015,600,Clear
14/07/2015,1200,Sunny
14/07/2015,1800,Sunny
15/07/2015,0,Clear
15/07/2015,600,Clear
15/07/2015,1200,Sunny
15/07/2015,1800,Sunny
16/07/2015,0,Clear
16/07/2015,600,Clear
16/07/2015,1200,Sunny
16/07/2015,1800,Sunny
17/07/2015,0,Clear
17/07/2015,600,Clear
17/07/2015,1200,Sunny
17/07/2015,1800,Sunny
18/07/2015,0,Clear
18/07/2015,600,Clear
18/07/2015,1200,Sunny
18/07/2015,1800,Sunny
19/07/2015,0,Clear
19/07/2015,600,Clear
19/07/2015,1200,Sunny
19/07/2015,1800,Sunny
20/07/2015,0,Clear
20/07/2015,600,Clear
20/07/2015,1200,Sunny
20/07/2015,1800,Sunny
21/07/2015,0,Clear
21/07/2015,600,Clear
21/07/2015,1200,Sunny
21/07/2015,1800,Sunny
22/07/2015,0,Clear
22/07/2015,600,Clear
22/07/2015,1200,Sunny
22/07/2015,1800,Sunny
23/07/2015,0,Clear
23/07/2015,600,Clear
23/07/2015,1200,Sunny
23/07/2015,1800,Sunny
24/07/2015,0,Clear
24/07/2015,600,Clear
24/07/2015,1200,Sunny
24/07/2015,1800,Sunny
25/07/2015,0,Clear
25/07/2015,600,Light rain shower
25/07/2015,1200,Sunny
25/07/2015,1800,Patchy rain possible
26/07/2015,0,Clear
26/07/2015,600,Clear
26/07/2015,1200,Sunny
26/07/2015,1800,Sunny
27/07/2015,0,Cloudy
27/07/2015,600,Light rain shower
27/07/2015,1200,Patchy rain possible
27/07/2015,1800,Sunny
28/07/2015,0,Clear
28/07/2015,600,Clear
28/07/2015,1200,Sunny
28/07/2015,1800,Sunny
29/07/2015,0,Clear
29/07/2015,600,Clear
29/07/2015,1200,Sunny
29/07/2015,1800,Sunny
30/07/2015,0,Clear
30/07/2015,600,Clear
30/07/2015,1200,Sunny
30/07/2015,1800,Sunny
31/07/2015,0,Clear
31/07/2015,600,Clear
31/07/2015,1200,Partly cloudy
31/07/2015,1800,Sunny
01/08/2015,0,Clear
01/08/2015,600,Clear
01/08/2015,1200,Partly cloudy
01/08/2015,1800,Patchy rain possible
02/08/2015,0,Clear
02/08/2015,600,Clear
02/08/2015,1200,Sunny
02/08/2015,1800,Sunny
03/08/2015,0,Clear
03/08/2015,600,Clear
03/08/2015,1200,Sunny
03/08/2015,1800,Sunny
04/08/2015,0,Clear
04/08/2015,600,Clear
04/08/2015,1200,Sunny
04/08/2015,1800,Partly cloudy
05/08/2015,0,Clear
05/08/2015,600,Clear
05/08/2015,1200,Sunny
05/08/2015,1800,Sunny
06/08/2015,0,Clear
06/08/2015,600,Clear
06/08/2015,1200,Sunny
06/08/2015,1800,Sunny
07/08/2015,0,Clear
07/08/2015,600,Clear
07/08/2015,1200,Sunny
07/08/2015,1800,Sunny
08/08/2015,0,Clear
08/08/2015,600,Clear
08/08/2015,1200,Sunny
08/08/2015,1800,Sunny
09/08/2015,0,Clear
09/08/2015,600,Clear
09/08/2015,1200,Sunny
09/08/2015,1800,Sunny
10/08/2015,0,Clear
10/08/2015,600,Partly cloudy
10/08/2015,1200,Sunny
10/08/2015,1800,Patchy light rain with thunder
11/08/2015,0,Patchy rain possible
11/08/2015,600,Clear
11/08/2015,1200,Partly cloudy
11/08/2015,1800,Partly cloudy
12/08/2015,0,Clear
12/08/2015,600,Clear
12/08/2015,1200,Sunny
12/08/2015,1800,Sunny
13/08/2015,0,Clear
13/08/2015,600,Clear
13/08/2015,1200,Sunny
13/08/2015,1800,Sunny
14/08/2015,0,Clear
14/08/2015,600,Clear
14/08/2015,1200,Sunny
14/08/2015,1800,Sunny
15/08/2015,0,Patchy rain possible
15/08/2015,600,Patchy rain possible
15/08/2015,1200,Sunny
15/08/2015,1800,Patchy rain possible
16/08/2015,0,Patchy rain possible
16/08/2015,600,Clear
16/08/2015,1200,Sunny
16/08/2015,1800,Sunny
17/08/2015,0,Clear
17/08/2015,600,Patchy rain possible
17/08/2015,1200,Sunny
17/08/2015,1800,Sunny
18/08/2015,0,Patchy rain possible
18/08/2015,600,Cloudy
18/08/2015,1200,Sunny
18/08/2015,1800,Partly cloudy
19/08/2015,0,Light rain shower
